name,platform,release_date,meta_score,user_review,genre,target_age
Crusader Kings III,PC,01-Sep-20,91,8.4,Strategy,M
Ori and the Will of the Wisps,Switch,17-Sep-20,93,8.7,Platformer,E
Hades,PC,17-Sep-20,93,8.9,Survival,T
Hades,Switch,17-Sep-20,93,9.0,Survival,T
Spelunky 2,PC,29-Sep-20,91,6.7,Platformer,T
Pikmin 3 Deluxe,Switch,30-Oct-20,85,8.4,Strategy,E
Demon`s Souls,PlayStation,11-Nov-20,92,8.1,RPG,M
Grindstone,Switch,15-Dec-20,87,7.9,Strategy,T
Super Mario 3D World + Bowser`s Fury,Switch,12-Feb-21,89,8.7,Platformer,E
Overcooked! All You Can Eat,Switch,23-Mar-21,88,7.5,Arcade,E
Tony Hawk`s Pro Skater 1 + 2,PlayStation,26-Mar-21,90,8.6,Sports,T
Monster Hunter Rise,Switch,26-Mar-21,88,9.0,RPG,T
Disco Elysium: The Final Cut,PC,30-Mar-21,97,8.3,RPG,M
The House in Fata Morgana - Dreams of the Revenants Edition -,Switch,09-Apr-21,97,8.2,Visual Novel,M
Fez,Switch,14-Apr-21,88,6.9,Platformer,E
There is no game : Wrong dimension,Switch,14-Apr-21,87,8.0,Visual Novel,E
Sumire,Switch,27-May-21,86,8.2,RPG,E
Overboard!,Switch,02-Jun-21,86,8.0,RPG,T
Final Fantasy VII Remake Intergrade,PlayStation,10-Jun-21,89,8.3,RPG,T
Tony Hawk`s Pro Skater 1 + 2,Switch,25-Jun-21,85,7.0,Sports,T
Doki Doki Literature Club Plus!,Switch,30-Jun-21,85,8.3,Visual Novel,M
The Great Ace Attorney Chronicles,Switch,27-Jul-21,87,7.3,Visual Novel,T
Bustafellows,Switch,30-Jul-21,86,7.8,Visual Novel,M
Hades,PlayStation,13-Aug-21,93,8.7,Survival,T
Quake Remastered,Switch,19-Aug-21,87,8.2,Shooting,M
Tetris Effect: Connected,Switch,08-Oct-21,95,8.5,Strategy,E
Metroid Dread,Switch,08-Oct-21,89,8.8,Platformer,T
Disco Elysium: The Final Cut,Switch,12-Oct-21,87,8.7,RPG,M
Final Fantasy XIV: Endwalker,PlayStation,07-Dec-21,90,8.2,RPG,T
God of War,PC,14-Jan-22,93,9.1,RPG,M
Elden Ring,PC,25-Feb-22,94,8.0,RPG,M
Elden Ring,PlayStation,25-Feb-22,96,8.0,RPG,M
13 Sentinels: Aegis Rim,Switch,12-Apr-22,88,8.8,RPG,T
The Stanley Parable: Ultra Deluxe,PC,27-Apr-22,90,8.3,RPG,T
Neon White,Switch,16-Jun-22,88,8.1,Shooting,T
Neon White,PC,16-Jun-22,89,8.4,Shooting,T
Portal: Companion Collection,Switch,28-Jun-22,95,9.3,Shooting,E
Cuphead in the Delicious Last Course,Switch,30-Jun-22,88,8.8,Platformer,E
I Was a Teenage Exocolonist,PC,25-Aug-22,91,7.9,Strategy,T
The Legend of Heroes: Trails from Zero,PC,27-Sep-22,90,7.6,RPG,T
Tunic,Switch,27-Sep-22,88,7.8,RPG,E
NieR: Automata - The End of YoRHa Edition,Switch,06-Oct-22,89,7.5,RPG,M
Persona 5 Royal,Switch,21-Oct-22,94,8.2,RPG,M
Persona 5 Royal,PlayStation,21-Oct-22,91,8.6,RPG,M
Persona 5 Royal,PC,21-Oct-22,95,8.6,RPG,M
God of War: Ragnarok,PlayStation,09-Nov-22,94,8.1,RPG,M
Chained Echoes,Switch,08-Dec-22,90,8.6,RPG,M
Chained Echoes,PC,08-Dec-22,91,8.6,RPG,M
The Witcher 3: Wild Hunt - Complete Edition,PlayStation,14-Dec-22,94,8.8,RPG,M
Persona 4 Golden,Switch,19-Jan-23,90,8.7,RPG,M
Hi-Fi Rush,PC,25-Jan-23,90,8.9,Platformer,T
Pizza Tower,PC,26-Jan-23,89,8.8,Platformer,T
Dead Space,PlayStation,27-Jan-23,89,8.7,Survival,M
Metroid Prime Remastered,Switch,08-Feb-23,94,8.8,Shooting,T
Moss: Book II,PlayStation,22-Feb-23,90,7.3,RPG,E
Tetris Effect: Connected,PlayStation,22-Feb-23,93,8.3,Strategy,E
Resident Evil 4,PC,24-Mar-23,91,8.1,Survival,M
Resident Evil 4,PlayStation,24-Mar-23,93,8.1,Survival,M
Xenoblade Chronicles 3: Expansion Pass Wave 4 - Future Redeemed,Switch,25-Apr-23,92,9.1,RPG,T
The Legend of Zelda: Tears of the Kingdom,Switch,12-May-23,96,8.4,RPG,E
Street Fighter 6,PC,02-Jun-23,92,6.9,Action,T
Street Fighter 6,PlayStation,02-Jun-23,92,7.0,Action,T
Jack Jeanne,Switch,15-Jun-23,90,7.7,Visual Novel,T
Rogue Legacy 2,PlayStation,20-Jun-23,90,7.4,Survival,E
DAVE THE DIVER,PC,28-Jun-23,90,8.3,RPG,E
DAVE THE DIVER,PlayStation,28-Jun-23,91,8.9,RPG,E
Ghost Trick: Phantom Detective,PC,30-Jun-23,90,9.5,RPG,T
Xenoblade Chronicles 3,Switch,29-Jul-23,89,8.5,RPG,T
VIDEOVERSE,PC,07-Aug-23,90,6.8,RPG,M
Vampire Survivors,Switch,17-Aug-23,88,8.3,Survival,T
The Making of Karateka,Switch,29-Aug-23,90,7.4,Action,E
Sea of Stars,Switch,29-Aug-23,90,7.7,RPG,E
Resident Evil 4: Separate Ways,PC,21-Sep-23,89,9.1,Survival,M
Cyberpunk 2077: Phantom Liberty,PC,26-Sep-23,89,7.4,RPG,M
Cocoon,PlayStation,29-Sep-23,90,7.9,RPG,T
Baldur`s Gate 3,PC,03-Oct-23,96,8.9,RPG,M
Baldur`s Gate 3,PlayStation,03-Oct-23,96,8.9,RPG,M
Marvel`s Spider-Man 2,PlayStation,20-Oct-23,90,8.9,RPG,T
Super Mario Bros. Wonder,Switch,20-Oct-23,92,9.1,Platformer,E
Slay the Princess,PC,23-Oct-23,90,8.4,Visual Novel,M
DAVE THE DIVER,Switch,26-Oct-23,88,8.6,RPG,E
Alan Wake II,PC,27-Oct-23,89,8.7,Survival,M
The Talos Principle 2,PlayStation,02-Nov-23,90,9.2,RPG,E
Against the Storm,PC,08-Dec-23,91,8.2,Strategy,E
Prince of Persia: The Lost Crown,Switch,18-Jan-24,88,8.6,Platformer,T
The Last of Us Part II Remastered,PlayStation,19-Jan-24,90,8.2,Survival,M
Tekken 8,PlayStation,26-Jan-24,90,7.5,Action,T
Like a Dragon: Infinite Wealth,PC,26-Jan-24,89,8.6,RPG,M
Balatro,PC,20-Feb-24,90,8.6,Strategy,M
Balatro,Switch,20-Feb-24,90,8.6,Strategy,M
Balatro,PlayStation,20-Feb-24,93,8.6,Strategy,M
Pentiment,Switch,22-Feb-24,90,8.8,RPG,M
Final Fantasy VII Rebirth,PlayStation,29-Feb-24,92,9.0,RPG,T
Unicorn Overlord,Switch,08-Mar-24,89,8.7,Strategy,T
