name,platform,release_date,meta_score,user_review,genre,target_age
Out of the Park Baseball 17,PC,22-Mar-16,92,3.33,Sports,E
Stephen`s Sausage Roll,PC,18-Apr-16,89.9,5.45,Puzzle,E
Overwatch,PC,23-May-16,91.5,6.48,FPS,T
The Witcher 3: Wild Hunt - Blood and Wine,PC,30-May-16,92,9.26,RPG,M
Shovel Knight: Treasure Trove,Switch,03-Mar-17,91.1,8.19,Platformer,E
The Legend of Zelda: Breath of the Wild,Switch,03-Mar-17,96.8,8.65,Open World,E
The Binding of Isaac: Afterbirth +,Switch,17-Mar-17,84.6,8.25,Top-Down Shoot-`Em-Up,M
Mario Kart 8 Deluxe,Switch,28-Apr-17,92.3,8.6,Racing,E
Thumper,Switch,18-May-17,85.2,8.05,Rhythm,E
Cave Story +,Switch,20-Jun-17,87.5,7.9,Metroidvania,E
Sonic Mania,Switch,15-Aug-17,85.8,8.41,Platformer,E
Divinity: Original Sin II,PC,14-Sep-17,93.2,8.8,RPG,E
SteamWorld Dig 2,Switch,21-Sep-17,88.2,8.6,Metroidvania,E
Axiom Verge,Switch,05-Oct-17,87.3,8.39,Metroidvania,E
Stardew Valley,Switch,05-Oct-17,86.5,8.7,RPG,E
Super Mario Odyssey,Switch,27-Oct-17,96.6,8.95,Platformer,E
Rocket League,Switch,14-Nov-17,85.7,7.78,Sports,E
Okami HD,PC,12-Dec-17,92,7.89,Adventure,T
Enter the Gungeon,Switch,14-Dec-17,87.2,7.97,Top-Down Shoot-`Em-Up,T
SteamWorld Heist: Ultimate Edition,Switch,28-Dec-17,90.9,8.28,Strategy,E
Celeste,Switch,25-Jan-18,91.8,8.61,Platformer,E
Crypt of the NecroDancer: Nintendo Switch Edition,Switch,01-Feb-18,86,7.2,Rhythm,E
Night in the Woods,Switch,01-Feb-18,85.4,7.5,Adventure,E
Owlboy,Switch,13-Feb-18,86.8,7.32,Adventure,E
Bayonetta 2,Switch,16-Feb-18,92.2,8.54,Adventure,M
Bayonetta + Bayonetta 2,Switch,16-Feb-18,89.8,8.69,Adventure,M
Shantae and the Pirate`s Curse,Switch,20-Mar-18,86.1,8.26,Platformer,E
Donkey Kong Country: Tropical Freeze,Switch,04-May-18,85.7,8.55,Platformer,E
Ikaruga,Switch,29-May-18,87.8,7.73,Arcade,E
West of Loathing,Switch,31-May-18,84.9,8.06,RPG,T
Hollow Knight,Switch,12-Jun-18,89.8,9.01,Metroidvania,E
Minecraft,Switch,21-Jun-18,85.7,7.52,Sandbox,E
INSIDE,Switch,28-Jun-18,90.9,8.6,Platformer,M
Sonic Mania Plus,Switch,17-Jul-18,91.4,8.13,Platformer,E
Iconoclasts,Switch,02-Aug-18,87.2,7.91,Metroidvania,T
Dead Cells,Switch,07-Aug-18,89.1,8.39,Metroidvania,T
Okami HD,Switch,09-Aug-18,89,8.63,Adventure,T
Into the Breach,Switch,28-Aug-18,88.6,7.83,Strategy,E
The Messenger,Switch,30-Aug-18,85.9,8.41,Metroidvania,E
Mini Metro,Switch,30-Aug-18,86.2,8.43,Management,E
Hyper Light Drifter,Switch,06-Sep-18,87.7,7.72,ARPG,T
Bastion,Switch,13-Sep-18,90,7.67,ARPG,E
Undertale,Switch,18-Sep-18,93.4,8.21,JRPG,E
